id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20110506_184702_1354107_RapidEye-2,2011-05-06T18:47:02Z,RapidEye-2,73.66658,5,0.02,0.03,165.1583,10.26404,0.97,REOrthoTile,6.5
20110508_184553_1354107_RapidEye-4,2011-05-08T18:45:53Z,RapidEye-4,74.14366,5,0.03,0.03,163.83874,10.16907,0.97,REOrthoTile,6.5
20110614_184349_1354107_RapidEye-3,2011-06-14T18:43:49Z,RapidEye-3,79.38857,5,0.02,0.02,148.43607,13.48614,0.98,REOrthoTile,6.5
20110613_184526_1354107_RapidEye-2,2011-06-13T18:45:26Z,RapidEye-2,79.53974,5,0.01,0.01,150.60679,16.86248,0.99,REOrthoTile,6.5
20110616_184627_1354107_RapidEye-5,2011-06-16T18:46:27Z,RapidEye-5,79.69655,5,0.04,0.07,150.69321,6.68688,0.93,REOrthoTile,6.5
20110622_185433_1354107_RapidEye-1,2011-06-22T18:54:33Z,RapidEye-1,80.38421,5,0.02,0.02,158.8277,0.04308,0.98,REOrthoTile,6.5
20110629_185819_1354107_RapidEye-3,2011-06-29T18:58:19Z,RapidEye-3,80.3358,5,0.05,0.05,162.20653,-16.46673,0.95,REOrthoTile,6.5
20110627_185924_1354107_RapidEye-1,2011-06-27T18:59:24Z,RapidEye-1,80.52083,5,0,0,164.04406,-12.54723,1,REOrthoTile,6.5
20110704_184314_1354107_RapidEye-4,2011-07-04T18:43:14Z,RapidEye-4,78.47909,5,0.17,0.17,144.64691,13.42775,0.83,REOrthoTile,6.5
20110801_185119_1354107_RapidEye-3,2011-08-01T18:51:19Z,RapidEye-3,74.62991,5,0.07,0.31,159.25024,-3.08874,0.69,REOrthoTile,6.5
20110823_185553_1354107_RapidEye-1,2011-08-23T18:55:53Z,RapidEye-1,68.65013,5,0,0,170.26299,-3.00906,1,REOrthoTile,6.5
20110929_184943_1354107_RapidEye-5,2011-09-29T18:49:43Z,RapidEye-5,54.9961,5,0.01,0.05,176.40088,6.64054,0.95,REOrthoTile,6.5
20111017_184525_1354107_RapidEye-4,2011-10-17T18:45:25Z,RapidEye-4,48.17771,5,0.02,0.06,177.18862,10.19114,0.94,REOrthoTile,6.5
